variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
agr,float64,-5.636086957000001,0.7013919918000001,6.337478948800001,238437,-435992.69093474606,1269450,30.832263451727087,1961-01-01,2021-12-01
bm,float64,-4.753152203,153.74597772,158.49912992300003,339649,4195832.536809863,1074689,26.1019294786507,1962-07-01,2021-12-01
bm_ia,float64,-130.9348434,137.29697196,268.23181536000004,2589244,-5148015.0679798825,1074689,26.1019294786507,1962-07-01,2021-12-01
cashdebt,float64,-10248.0,2.7623041816,10250.7623041816,248057,-111292.5498353686,1183872,28.75375430077833,1959-07-01,2021-12-01
cashpr,float64,-656.4051724,600.27737445,1256.68254685,255396,-1100907.1679068215,1074172,26.089372638913378,1959-07-01,2021-12-01
cfp,float64,-170.1725966,161.28252366,331.45512026,232515,200321.70277566803,1348757,32.75846323711928,1962-07-01,2021-12-01
cfp_ia,float64,-168.9501625,363.74706091,532.69722341,232878,-239546.02829693074,1348757,32.75846323711928,1962-07-01,2021-12-01
chatoia,float64,-1.006542146,1.209927457,2.216469603,216179,992.9381744503648,1521181,36.94627858502632,1962-01-01,2021-12-01
chcsho,float64,-0.888405797,7.2087658593,8.0971716563,198411,307661.307216619,1273153,30.922201512747016,1961-01-01,2021-12-01
chempia,float64,-57.17108398,3.5750877723000003,60.7461717523,205211,-334903.04014861985,1310899,31.838972253027364,1961-01-01,2021-12-01
chinv,float64,-0.279733495,0.3835263835,0.6632598785,184027,32684.007251115312,1356775,32.95320354855805,1961-01-01,2021-12-01
chpmia,float64,-166.9575638,173.7708691,340.72843290000003,235082,334534.83802458947,1320607,32.07475910055138,1961-01-01,2021-12-01
convind,float64,0.0,1.0,1.0,2,420395.0,1026878,24.94070111369696,1959-07-01,2021-12-01
currat,float64,0.1298701299,106.67938931,106.5495191801,246901,10538019.141102526,1154530,28.041098997930185,1959-07-01,2021-12-01
depr,float64,-0.983828834,8.1223880597,9.106216893700001,232483,763897.0841980728,1244394,30.223706050453725,1959-07-01,2021-12-01
divi,float64,0.0,1.0,1.0,2,87420.0,1269407,30.831219072406572,1961-01-01,2021-12-01
divo,float64,0.0,1.0,1.0,2,84530.0,1269407,30.831219072406572,1961-01-01,2021-12-01
dy,float64,-12.14504773,0.5439915651,12.6890392951,137810,63821.208781259396,1040973,25.283038939804403,1959-07-01,2021-12-01
egr,float64,-4.091554638,9.5663234172,13.6578780552,236147,385301.7767941244,1297634,31.516793376594926,1963-07-01,2021-12-01
ep,float64,-8.194066112,0.6827200984999999,8.8767862105,258906,-70470.88593847875,1029978,25.01599357633854,1959-07-01,2021-12-01
gma,float64,-0.894597428,1.7661495963,2.6607470243,235862,981517.5773501234,1275981,30.990887668989075,1961-01-01,2021-12-01
grcapx,float64,-14.12089744,46.988764045,61.109661485000004,191235,2140344.094960614,1662675,40.38286945889979,1962-01-01,2021-12-01
grltnoa,float64,-0.592349727,1.1846110654000002,1.7769607924000002,177843,183382.18199623437,1994244,48.43598124780498,1963-07-01,2021-12-01
herf,float64,0.0102009496,1.0,0.9897990504,3820,280428.57540908357,1026900,24.941235447302805,1959-07-01,2021-12-01
hire,float64,-0.788343558,3.9166666667,4.7050102247,99801,237124.8789341471,1310899,31.838972253027364,1961-01-01,2021-12-01
invest,float64,-0.5385402460000001,2.3273809524,2.8659211984,221003,212011.04435838986,1420082,34.490797075154994,1961-01-01,2021-12-01
lev,float64,0.0,72.914767411,72.914767411,260163,6724751.213674532,1043580,25.34635747209686,1959-07-01,2021-12-01
lgr,float64,-0.797752809,10.75,11.547752809,236648,707292.8073029525,1284769,31.204329656632368,1961-01-01,2021-12-01
mve_ia,float64,-29218.104710000003,187263.28346,216481.38817000002,259226,-498678180.5453518,1029948,25.0152649396033,1959-07-01,2021-12-01
operprof,float64,-6.165168812,3.4617852274,9.626954039400001,227339,393780.52265125845,1395325,33.88950175334286,1963-01-01,2021-12-01
orgcap,float64,-0.0011567139999999,0.1648427256,0.16599943959999988,183201,28050.967554555773,1949719,47.35456289325132,1961-01-01,2021-12-01
pchcapx_ia,float64,-728.1018822000001,2238.1306093000003,2966.2324915000004,225277,20495090.87093649,1431047,34.757113801885616,1961-01-01,2021-12-01
pchcurrat,float64,-0.899768116,8.1401658737,9.039933989700002,228401,202001.01053780538,1396885,33.927390863575404,1961-01-01,2021-12-01
pchdepr,float64,-0.959677419,7.6442176684,8.6038950874,220470,266327.905962499,1482445,36.00546283248301,1961-01-01,2021-12-01
pchgm_pchsale,float64,-12.09416094,5.999987444199999,18.0941483842,234022,-205314.7902972082,1315472,31.95004077936928,1961-01-01,2021-12-01
pchquick,float64,-0.922605349,9.3731396808,10.295745029799999,225875,264992.24579257553,1427380,34.66805010494798,1961-01-01,2021-12-01
pchsale_pchinvt,float64,-10.56357199,3.3883810342,13.9519530242,182790,-126279.21310841733,1930311,46.883183501332674,1961-01-01,2021-12-01
pchsale_pchrect,float64,-7.911684631,3.1686650108,11.0803496418,226266,-132671.2676912296,1418844,34.460728665880715,1961-01-01,2021-12-01
pchsale_pchxsga,float64,-1.5694444440000002,4.3352121948,5.904656638800001,193559,39200.47985305433,1810896,43.98284497670548,1961-01-01,2021-12-01
pchsaleinv,float64,-121.0362857,30.973970161,152.010255861,182342,319313.66583240434,1955453,47.49382966124707,1961-01-01,2021-12-01
pctacc,float64,-69.88115345,68.846153846,138.727307296,214023,-2223468.2547071544,1539585,37.39327293420556,1963-07-01,2021-12-01
ps,float64,0.0,9.0,9.0,10,11965137.0,1269407,30.831219072406572,1961-01-01,2021-12-01
quick,float64,0.0818965517,100.6334131,100.5515165483,244165,8393777.86524053,1183517,28.745132099411308,1959-07-01,2021-12-01
rd,float64,0.0,1.0,1.0,2,366895.0,1269407,30.831219072406572,1961-01-01,2021-12-01
rd_mve,float64,-0.03411239,2.2277974662,2.2619098562000004,97799,89193.88445077218,2650785,64.38197760753586,1960-02-01,2021-12-01
rd_sale,float64,-90.38461538,179.65,270.03461538,95497,970994.414724914,2676415,65.0044762583435,1960-02-01,2021-12-01
realestate,float64,0.0,0.9709816368,0.9709816368,87176,290211.7091865367,3032481,73.6525685173554,1985-01-01,2021-12-01
roic,float64,-19.7896735,1.1732637639,20.9629372639,246630,-299601.0109454079,1171925,28.46358686491415,1962-07-01,2021-12-01
salecash,float64,-1591.636364,2141.125,3732.761364,253044,145383583.0293266,1065054,25.867915647182432,1959-07-01,2021-12-01
saleinv,float64,-106.6224376,1127.253012,1233.8754496,198022,66134926.391544476,1751749,42.54628907739531,1959-07-01,2021-12-01
salerec,float64,-21796.0,594.0,22390.0,245856,34239844.47039367,1163918,28.2691137202783,1959-07-01,2021-12-01
secured,float64,-7.9705e-05,3.8485757121,3.8486554171000003,73821,888466.3455142763,2501665,60.7601672755641,1981-01-01,2021-12-01
securedind,float64,0.0,1.0,1.0,2,1277158.0,1026878,24.94070111369696,1959-07-01,2021-12-01
sgr,float64,-0.9300014,7.5,8.4300014,233974,519358.7068775536,1314493,31.92626293390925,1961-01-01,2021-12-01
sin,float64,0.0,1.0,1.0,2,27814.0,1026878,24.94070111369696,1959-07-01,2021-12-01
sp,float64,-35.94196184,54.594991999,90.536953839,257114,6537090.129886056,1037418,25.196695486678333,1959-07-01,2021-12-01
tang,float64,0.0,0.9819330241,0.9819330241,245162,1545764.012259572,1223334,29.71220306231447,1959-07-01,2021-12-01
tb,float64,-40.78334542,12.142874455,52.926219875,160742,-490048.08184244944,1387745,33.70539953823861,1959-07-01,2021-12-01
aeavol,float64,-1.0,20.913043478,21.913043478,788021,2011342.693757829,1644798,39.94867482836962,1972-01-01,2021-12-01
cash,float64,-0.143183846,0.9773526909,1.1205365369,810387,386767.9063322295,1721063,41.80099084880836,1972-03-01,2021-12-01
chtx,float64,-0.117820888,0.1452963808,0.2631172688,667582,2077.575110043303,1811679,44.00186239549528,1972-09-01,2021-12-01
cinvest,float64,-123.6666667,351.5,475.1666667,744796,-2807.2210370861594,1845480,44.82281740509142,1972-04-01,2021-12-01
ear,float64,-0.458277427,0.5012611896,0.9595386166,628717,7479.33790518765,1617072,39.275268757659795,1972-01-01,2021-12-01
nincr,float64,0.0,8.0,8.0,9,2502880.0,1614741,39.21865368333156,1972-01-01,2021-12-01
roaq,float64,-0.516859717,0.1822474032,0.6991071202,807972,-3562.1856190652,1699371,41.2741379134467,1972-04-01,2021-12-01
roavol,float64,4.202607700000001e-06,0.8751859998999999,0.8751817972923,688610,57147.48553979147,2035813,49.44560459604622,1972-04-01,2021-12-01
